商業名稱,負責人,商業所在地,設立時間,登記項目,year,section.y,
來財商行,李錦昌,臺北市萬華區漢中街104號,106/12/19,食品什貨、飲料零售業布疋、衣著、鞋、帽、傘、服飾品零售業化_品零售業乙類成藥零售業首飾及貴金屬零售業其他綜合零售業飲料店業除許可業務外，得經營法令非禁止,2017,漢中街,
來裕商行,李雅文,臺北市萬華區西寧南路155號,106/12/19,食品什貨、飲料零售業布疋、衣著、鞋、帽、傘、服飾品零售業化_品零售業乙類成藥零售業首飾及貴金屬零售業其他綜合零售業飲料店業除許可業務外，得經營法令非禁止,2017,西寧南路,
永騰企業社,洪聖彥,臺北市萬華區西寧南路36之22號,106/12/19,文教、樂器、育樂用品零售業其他零售業除許可業務外，得經營法令非禁止或限制之業務,2017,西寧南路,
比客商行,黃文祥,臺北市萬華區武昌街2段29號,106/12/22,食品什貨、飲料零售業餐館業除許可業務外，得經營法令非禁止,2017,武昌街2段,
大展食品行,楊定展,臺北市萬華區武昌街2段74號,106/12/25,食品什貨、飲料零售業除許可業務外，得經營法令非禁止或限制之業務,2017,武昌街2段,
典哥庭園咖啡商行,許文典,臺北市萬華區峨眉街5號地下一層之46,106/12/27,食品什貨、飲料零售業菸酒零售業飲料店業除許可業務外，得經營法令非禁止,2017,峨眉街,
玩樂派對娃娃屋,李信斌,臺北市萬華區西寧南路50巷7號,106/12/27,除許可業務外，得經營法令非禁止或限制之業務,2017,西寧南路,
鑫樂園養生館,鄒明堯,臺北市萬華區康定路296號,或限制之業務104/01/07        1010傳統整復推拿業,NA,2015,康定路,
宏緯商品行,李儀筠,臺北市萬華區漢口街2段5號,104/01/12,食品什貨、飲料零售業菸酒零售業布疋、衣著、鞋、帽、傘、服飾品零售業化粧品零售業文教、樂器、育樂用品零售業國際貿易業9999除許可業務外，得經營法令非禁止或限制之業務,2015,漢口街2段,
愛膜兒工作室,李則毅,臺北市萬華區西寧南路36之67號,104/01/12,13060電信器材零售業13110電池零售業19010電子材料零售業2010電器及電子產品修理業9990未分類其他服務業9999除許可業務外，得經營法令非禁止或限制之業務,2015,西寧南路,
娜雅服飾店,蔡淑芬,臺北市萬華區成都路29號,104/01/23,布疋、衣著、鞋、帽、傘、服飾品零售業,2015,成都路,
真愛全新二手精品店,陳秀雲,臺北市萬華區西寧南路72之1號,104/01/23,布疋、衣著、鞋、帽、傘、服飾品零售業化粧品零售業文教、樂器、育樂用品零售業99040無店面零售業國際貿易業產品設計業服飾設計業9999除許可業務外，得經營法令非禁止,2015,西寧南路,
諺陽通訊行,張朝陽,臺北市萬華區西寧南路36之49號,104/01/26,13050電腦及事務性機器設備批發業,2015,西寧南路,
馬克斯速食館,劉佳榮,臺北市萬華區昆明街96巷22號,104/02/06,食品什貨、飲料零售業餐館業9999除許可業務外，得經營法令非禁止或限制之業務,2015,昆明街,
羊菓子企業社,林信宏,臺北市萬華區西寧南路70之27號1樓,104/02/13,食品什貨、飲料零售業文教、樂器、育樂用品零售業9999除許可業務外，得經營法令非禁止或限制之業務,2015,西寧南路,
靈光眼鏡商行,黃金元,臺北市萬華區康定路112號,104/03/04,10020眼鏡零售業,2015,康定路,
昱晴服裝行,陳品維,臺北市萬華區漢中街115號,104/03/30,布疋、衣著、鞋、帽、傘、服飾品零售業13060電信器材零售業模具零售業13110電池零售業日常用品零售業9999除許可業務外，得經營法令非禁止或限制之業務,2015,漢中街,
建宏牛肉麵店,陳建宏,臺北市萬華區西寧南路7號,104/04/23,        餐館業,2015,西寧南路,
放風箏服飾店,賴啟銘,臺北市萬華區成都路31號,104/04/08,布疋、衣著、鞋、帽、傘、服飾品零售業化粧品零售業          文教、樂器、育樂用品零售業15010首飾及貴金屬零售業99040無店面零售業服飾設計業9999除許可業務外，得經營法令非禁止或限制之業務,2015,成都路,
卯卯興業行,張雅婷,臺北市萬華區康定路25巷21號,104/04/21,15020礦石零售業13010電器零售業13020電器批發業食品什貨、飲料零售業,2015,康定路,
慾果企業社,許鎮宇,臺北市萬華區西寧南路36之45號,104/04/22,99010成人用品零售業布疋、衣著、鞋、帽、傘、服飾品零售業文教、樂器、育樂用品零售業食品什貨、飲料零售業化粧品零售業15010首飾及貴金屬零售業10020眼鏡零售業13110電池零售業,2015,西寧南路,
成都養生館,李淑美,臺北市萬華區成都路60之2號1樓、2樓,104/04/23,1020按摩業1030腳底按摩業,2015,成都路,
國碩精品包包店,盧怡廷,臺北市萬華區漢中街53號,104/04/27,布疋、衣著、鞋、帽、傘、服飾品日常用品零售業,2015,漢中街,
何家排骨酥,何穎源,臺北市萬華區昆明街180號1樓,104/04/15,餐館業,2015,昆明街,
熊萬年商行,周碩慶,臺北市萬華區西寧南路70之16號1樓,104/05/06,文教、樂器、育樂用品零售業13010電器零售業13030電腦及事務性機器設備零售業13080機械器具零售業13990其他機械器具零售業16010照相器材零售業18010資訊軟體零售業資訊軟體服務業13990其他機械器具批發業,2015,西寧南路,
瑪璐商行,侯珍微,臺北市萬華區昆明街117號,104/05/22,飲料批發業茶葉批發業食品什貨批發業食品什貨、飲料零售業飲料店業餐館業,NA,昆明街,
何記小吃坊,許燕青,臺北市萬華區漢中街35之11號,104/05/26,        餐館業,NA,漢中街,
岱一小吃店,楊岱榮,臺北市萬華區中華路1段144之31號,104/05/26,餐館業,NA,中華路1段,
好佳小吃店,黃世昌,臺北市萬華區武昌街2段45號,104/06/08,餐館業,NA,武昌街2段,
豐億商行,陳映周,臺北市萬華區西寧南路111號,104/06/03,飲料店業,NA,西寧南路,
一皇三洲企業社,黃千瑜,臺北市萬華區中華路1段118號,104/06/15,餐館業,NA,中華路1段,
西門格子文創坊,黃雅菁,臺北市萬華區武昌街2段18號,104/06/18,餐館業飲料店業食品什貨、飲料零售業布疋、衣著、鞋、帽、傘、服飾品零售業日常用品零售業文教、樂器、育樂用品零售業家具、寢具、廚房器具、裝設品零售業藝文服務業9999除許可業務外，得經營法令非禁止或限制之業務,NA,武昌街2段,
昱昶服飾行,陳品誌,臺北市萬華區成都路35號,104/06/26,布疋、衣著、鞋、帽、傘、服飾品零售業9999除許可業務外，得經營法令非禁止或限制之業務,NA,成都路,
艾美立服飾行,張碧芸,臺北市萬華區漢中街50巷11號,104/07/09,布疋、衣著、鞋、帽、傘、服飾品批發業布疋、衣著、鞋、帽、傘、服飾品零售業家具、寢具、廚房器具、裝設品批發業家具、寢具、廚房器具、裝設品零售業五金批發業五金零售業日常用品批發業日常用品零售業99040無店面零售業國際貿易業9999除許可業務外，得經營法令非禁止或限制之業務,NA,漢中街,
佳寧企業社,鄭百忠,臺北市萬華區西寧南路36之69號,104/07/01,不動產租賃業不動產買賣業,NA,西寧南路,
捷訊通訊行,吳志雄,臺北市萬華區漢口街2段54之3號1樓,104/07/03,13060電信器材零售業18010資訊軟體零售業99040無店面零售業國際貿易業資訊軟體服務業電子資訊供應服務業1010電信業務門號代辦業2010電器及電子產品修理業,NA,漢口街2段,
天緯通訊行,洪嘉妤,臺北市萬華區西寧南路36之19號,1319999,電信器材零售業電信業務門號代辦業電器及電子產品修理業除許可業務外，得經營法令非禁止,NA,西寧南路,
百事福來得工作室,陳威凡,臺北市中正區中華路1段59號1樓之9,零售業,布疋、衣著、鞋、帽、傘、服飾品日常用品零售業,NA,中華路1段,
育昇通訊企業社,謝霆,臺北市萬華區西寧南路36之11號1樓,104/07/24,13070電信器材批發業13060電信器材零售業99990其他顧問服務業國際貿易業1010電信業務門號代辦業9999除許可業務外，得經營法令非禁止或限制之業務,NA,西寧南路,
易記牛肉麵,楊大慶,臺北市中正區中華路1段91巷11號,104/07/27,        餐館業,NA,中華路1段,
馬町商行,傅雅菁,臺北市萬華區西寧南路34號1樓及30號2樓,飲料店業餐館業家畜家禽批發業水產品批發業布疋、衣著、鞋、帽、傘、服飾品寵物食品及其用品批發業文教、樂器、育樂用品批發業農產品零售業畜產品零售業食品什貨、飲料零售業菸酒零售業布疋、衣著、鞋、帽、傘、服飾品寵物食品及其用品零售業文教、樂器、育樂用品零售業國際貿易業智慧財產權業室內裝潢業投資顧問業管理顧問業藝術品諮詢顧問業一般廣告服務業景觀、室內設計業人力派遣業烘焙炊蒸食品製造業不動產買賣業不動產租賃業蔬果批發業其他農、畜、水產品批發業寵物美容服務業除許可業務外，得經營法令非禁止,NA,NA,西寧南路,
芳缇國際行,王秀芳,臺北市萬華區西寧南路4號(西寧公有市場1樓1060號百貨類攤位),104/08/27,農產品零售業日常用品零售業花卉零售業13010電器零售業13030電腦及事務性機器設備零售業資源回收業五金零售業國際貿易業                   9999除許可業務外，得經營法令非禁止,NA,西寧南路,
宏利企業社,蕭友稑,臺北市萬華區西寧南路36之49號,104/08/21,13020電器批發業13050電腦及事務性機器設備批發業13070電信器材批發業13110電池批發業19010電子材料批發業13010電器零售業13030電腦及事務性機器設備零售業13060電信器材零售業13110電池零售業99040無店面零售業資訊軟體服務業電子資訊供應服務業       1010電信業務門號代辦業       9999除許可業務外，得經營法令非禁止,NA,西寧南路,
榮神企業社,丁琳,臺北市萬華區成都路9號,104/08/17,不動產租賃業不動產買賣業,NA,成都路,
滿漢牛肉麵食堂,李耀鳴,臺北市萬華區漢中街2號,104/08/19,餐館業其他餐飲業飲料店業食品什貨、飲料零售業99990其他零售業9999除許可業務外，得經營法令非禁止或限制之業務,NA,漢中街,
德興甜不辣商行,何蔣鐘,臺北市萬華區康定路172巷1號直興公有市場臨固28號漁產攤位,104/08/20,99990未分類其他食品製造業食品什貨、飲料零售業,NA,康定路,
家家餐坊,黃筠唐,臺北市萬華區成都路68號地下,104/08/28,食品什貨、飲料零售業菸酒零售業飲料店業餐館業9999除許可業務外，得經營法令非禁止或限制之業務,NA,成都路,
